t,phase,q1,q2,q3,q4,q5,tip_x,tip_y,tip_z,error,depth
0.05,positioning,0.200076,3e-06,-0.100039,0.0,0.0,0.200076,3e-06,0.34996,0.442241,-0.22996
0.1,positioning,0.200305,1.1e-05,-0.100157,0.0,0.0,0.200305,1.1e-05,0.349842,0.441993,-0.229842
0.15,positioning,0.200686,2.5e-05,-0.100354,0.0,0.0,0.200686,2.5e-05,0.349645,0.441582,-0.229645
0.2,positioning,0.201219,4.5e-05,-0.100629,0.0,0.0,0.201219,4.5e-05,0.34937,0.441006,-0.22937
0.25,positioning,0.201904,7e-05,-0.100982,0.0,0.0,0.201904,7e-05,0.349017,0.440266,-0.229017
0.3,positioning,0.20274,0.000101,-0.101413,0.0,0.0,0.20274,0.000101,0.348586,0.439364,-0.228586
0.35,positioning,0.203726,0.000137,-0.101922,0.0,0.0,0.203726,0.000137,0.348077,0.438299,-0.228077
0.4,positioning,0.204863,0.000178,-0.102508,0.0,0.0,0.204863,0.000178,0.347492,0.437072,-0.227492
0.45,positioning,0.206148,0.000226,-0.10317,0.0,0.0,0.206148,0.000226,0.346829,0.435686,-0.226829
0.5,positioning,0.207581,0.000278,-0.10391,0.0,0.0,0.207581,0.000278,0.34609,0.43414,-0.22609
0.55,positioning,0.209161,0.000336,-0.104724,0.0,0.0,0.209161,0.000336,0.345275,0.432436,-0.225275
0.6,positioning,0.210887,0.000399,-0.105614,0.0,0.0,0.210887,0.000399,0.344385,0.430576,-0.224385
0.65,positioning,0.212757,0.000468,-0.106579,0.0,0.0,0.212757,0.000468,0.34342,0.428561,-0.22342
0.7,positioning,0.21477,0.000542,-0.107617,0.0,0.0,0.21477,0.000542,0.342382,0.426393,-0.222382
0.75,positioning,0.216925,0.000621,-0.108728,0.0,0.0,0.216925,0.000621,0.341271,0.424073,-0.221271
0.8,positioning,0.219219,0.000705,-0.109912,0.0,0.0,0.219219,0.000705,0.340088,0.421604,-0.220088
0.85,positioning,0.221652,0.000794,-0.111166,0.0,0.0,0.221652,0.000794,0.338833,0.418988,-0.218833
0.9,positioning,0.224221,0.000889,-0.112491,0.0,0.0,0.224221,0.000889,0.337508,0.416227,-0.217508
0.95,positioning,0.226925,0.000988,-0.113886,0.0,0.0,0.226925,0.000988,0.336114,0.413324,-0.216114
1.0,positioning,0.229761,0.001092,-0.115348,0.0,0.0,0.229761,0.001092,0.334651,0.41028,-0.214651
1.05,positioning,0.232728,0.001201,-0.116878,0.0,0.0,0.232728,0.001201,0.333121,0.407099,-0.213121
1.1,positioning,0.235822,0.001314,-0.118474,0.0,0.0,0.235822,0.001314,0.331525,0.403783,-0.211525
1.15,positioning,0.239043,0.001432,-0.120135,0.0,0.0,0.239043,0.001432,0.329864,0.400336,-0.209864
1.2,positioning,0.242387,0.001555,-0.121859,0.0,0.0,0.242387,0.001555,0.32814,0.396759,-0.20814
1.25,positioning,0.245851,0.001682,-0.123646,0.0,0.0,0.245851,0.001682,0.326353,0.393057,-0.206353
1.3,positioning,0.249435,0.001814,-0.125494,0.0,0.0,0.249435,0.001814,0.324505,0.389233,-0.204505
1.35,positioning,0.253133,0.001949,-0.127402,0.0,0.0,0.253133,0.001949,0.322597,0.38529,-0.202597
1.4,positioning,0.256945,0.002089,-0.129367,0.0,0.0,0.256945,0.002089,0.320632,0.381231,-0.200632
1.45,positioning,0.260867,0.002233,-0.13139,0.0,0.0,0.260867,0.002233,0.318609,0.377061,-0.198609
1.5,positioning,0.264896,0.002381,-0.133468,0.0,0.0,0.264896,0.002381,0.316531,0.372782,-0.196531
1.55,positioning,0.269029,0.002532,-0.135599,0.0,0.0,0.269029,0.002532,0.3144,0.3684,-0.1944
1.6,positioning,0.273263,0.002688,-0.137783,0.0,0.0,0.273263,0.002688,0.312216,0.363917,-0.192216
1.65,positioning,0.277595,0.002847,-0.140017,0.0,0.0,0.277595,0.002847,0.309982,0.359338,-0.189982
1.7,positioning,0.282022,0.003009,-0.1423,0.0,0.0,0.282022,0.003009,0.307699,0.354667,-0.187699
1.75,positioning,0.28654,0.003175,-0.14463,0.0,0.0,0.28654,0.003175,0.305369,0.349908,-0.185369
1.8,positioning,0.291145,0.003344,-0.147005,0.0,0.0,0.291145,0.003344,0.302994,0.345067,-0.182994
